R.1,R.2,R.3,score,rebuild
0.76,0.23,0.01,-0.43492,FALSE
0.75,0.24,0.01,-0.43158,FALSE
0.74,0.25,0.01,-0.42824,FALSE
0.73,0.26,0.01,-0.4249,FALSE
0.72,0.27,0.01,-0.42156,FALSE
0.71,0.28,0.01,-0.41822,FALSE
0.7,0.29,0.01,-0.41488,FALSE
0.69,0.3,0.01,-0.41154,FALSE
0.68,0.31,0.01,-0.4082,FALSE
0.67,0.32,0.01,-0.40486,FALSE
0.66,0.33,0.01,-0.40152,FALSE
0.65,0.34,0.01,-0.39818,FALSE
0.64,0.35,0.01,-0.39484,FALSE
0.63,0.36,0.01,-0.3915,FALSE
0.62,0.37,0.01,-0.38816,FALSE
0.61,0.38,0.01,-0.38482,FALSE
0.6,0.39,0.01,-0.38148,FALSE
0.59,0.4,0.01,-0.37814,FALSE
0.58,0.41,0.01,-0.3748,FALSE
0.57,0.42,0.01,-0.37146,FALSE
0.56,0.43,0.01,-0.36812,FALSE
0.55,0.44,0.01,-0.36478,FALSE
0.54,0.45,0.01,-0.36144,FALSE
0.53,0.46,0.01,-0.3581,FALSE
0.52,0.47,0.01,-0.35476,FALSE
0.51,0.48,0.01,-0.35142,FALSE
0.5,0.49,0.01,-0.34808,FALSE
0.49,0.5,0.01,-0.34474,FALSE
0.48,0.51,0.01,-0.3414,FALSE
0.47,0.52,0.01,-0.33805999999999997,FALSE
0.46,0.53,0.01,-0.33472,FALSE
0.45,0.54,0.01,-0.33138,FALSE
0.44,0.55,0.01,-0.32804,FALSE
0.43,0.56,0.01,-0.3247,FALSE
0.42,0.57,0.01,-0.32136000000000003,FALSE
0.41,0.58,0.01,-0.31802,FALSE
0.4,0.59,0.01,-0.31468,FALSE
0.39,0.6,0.01,-0.31134,FALSE
0.38,0.61,0.01,-0.308,FALSE
0.37,0.62,0.01,-0.30466,FALSE
0.36,0.63,0.01,-0.30132,FALSE
0.35,0.64,0.01,-0.29798,FALSE
0.34,0.65,0.01,-0.29464,FALSE
0.33,0.66,0.01,-0.2913,FALSE
0.32,0.67,0.01,-0.28796,FALSE
0.31,0.68,0.01,-0.28462,FALSE
0.3,0.69,0.01,-0.28128000000000003,FALSE
0.29,0.7,0.01,-0.27794,FALSE
0.28,0.71,0.01,-0.2746,FALSE
0.27,0.72,0.01,-0.27126,FALSE
0.26,0.73,0.01,-0.26792,FALSE
0.25,0.74,0.01,-0.26458,FALSE
0.24,0.75,0.01,-0.26124000000000003,FALSE
0.23,0.76,0.01,-0.2579,FALSE
0.22,0.77,0.01,-0.25456,FALSE
0.21,0.78,0.01,-0.25122,FALSE
0.2,0.79,0.01,-0.24788,FALSE
0.19,0.8,0.01,-0.24453999999999998,FALSE
0.18,0.81,0.01,-0.24119999999999997,FALSE
0.17,0.82,0.01,-0.23786000000000002,FALSE
0.16,0.83,0.01,-0.23452,FALSE
0.15,0.84,0.01,-0.23118,FALSE
